case,metric,main,refactor,delta_refactor_minus_main,relative_delta,exact_equal,within_tolerance
Four-stream-Yee-and-Grossmann-1990-1,best_solution,154853.8518602861,154853.8518602861,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,quartile_1,154853.8601589499,154853.8601589499,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,quartile_2,159038.7198662623,159038.71986626228,-2.9103830456733704e-11,-1.8299839486388904e-16,False,True
Four-stream-Yee-and-Grossmann-1990-1,quartile_3,163556.1251849868,163556.12518498677,-2.9103830456733704e-11,-1.7794399582294099e-16,False,True
Four-stream-Yee-and-Grossmann-1990-1,solved_esm_count,100,100,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,total_cases_attempted,1210,1210,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,total_cases_solved,1210,1210,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,within_2_percent,37,37,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,within_5_percent,64,64,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,within_10_percent,100,100,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,best_dTmin,14,14,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,best_min_dQ,0.5,0.5,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,best_stages,3,3,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,best_recovery_units,3,3,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,best_cu_units,2,2,0,0.0,True,True
Four-stream-Yee-and-Grossmann-1990-1,best_hu_units,1,1,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_solution,2905807.275299348,2905807.275299348,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,quartile_1,2947087.026205118,2947087.026205118,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,quartile_2,2954844.749379795,2954844.749379795,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,quartile_3,2969362.796976008,2969362.7969760075,-4.656612873077393e-10,-1.5682195782272467e-16,False,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,solved_esm_count,71,71,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,total_cases_attempted,1155,1155,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,total_cases_solved,886,886,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,within_2_percent,46,46,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,within_5_percent,68,68,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,within_10_percent,70,70,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_dTmin,18,18,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_min_dQ,1.7,1.7,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_stages,4,4,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_recovery_units,11,11,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_cu_units,3,3,0,0.0,True,True
Nine-stream-Linnhoff-and-Ahmad-1999-1,best_hu_units,3,3,0,0.0,True,True
